,lng,lat,count
0,106.6457,26.6233,7895
1,106.6456,26.6233,5387
2,106.5374,26.3791,4655
3,106.5374,26.379,4056
4,106.5375,26.3791,3976
5,106.5374,26.3788,3650
6,106.5374,26.3789,3623
7,106.5375,26.379,3530
8,106.6224,26.4034,3436
9,106.5375,26.3789,3252
10,106.5374,26.3792,3118
11,106.5375,26.3788,2902
12,106.6455,26.6233,2527
13,106.4823,26.5461,2507
14,106.4472,26.3498,2343
15,106.5581,26.3947,2266
16,106.4823,26.5462,2266
17,106.4822,26.5462,2190
18,106.4824,26.5461,2143
19,106.5376,26.379,2130
20,106.5375,26.3792,2081
21,106.5373,26.3791,2056
22,106.5373,26.3792,2054
23,106.4824,26.546,2016
24,106.5427,26.3805,2011
25,106.5373,26.3788,2006
26,106.5427,26.3804,1993
27,106.6456,26.6234,1862
28,106.4822,26.5461,1809
29,106.6458,26.6233,1770
30,106.5426,26.3804,1749
31,106.5374,26.3787,1719
32,106.5376,26.3791,1702
33,106.4823,26.546,1689
34,106.5373,26.379,1662
35,106.6457,26.6234,1584
36,106.5426,26.3805,1560
37,106.5376,26.3789,1538
38,106.6225,26.4034,1446
39,106.5373,26.3789,1417
40,106.4824,26.5462,1389
41,106.6456,26.6232,1371
42,106.5375,26.3787,1358
43,106.4824,26.5459,1261
44,106.4825,26.546,1231
45,106.4822,26.5463,1213
46,106.4821,26.5462,1204
47,106.4825,26.5461,1190
48,106.6458,26.6234,1170
49,106.6224,26.4035,1094
50,106.4799,26.3579,1070
51,106.4823,26.5463,1033
52,106.6457,26.6232,1013
53,106.6454,26.6233,1005
54,106.5375,26.3786,953
55,106.5377,26.3789,931
56,106.4822,26.546,923
57,106.4821,26.5461,899
58,106.6228,26.4032,878
59,106.5428,26.3804,876
60,106.5377,26.379,876
61,106.6813,26.3399,874
62,106.4825,26.5459,866
63,106.4823,26.5459,863
64,106.5582,26.3947,835
65,106.6229,26.4032,824
66,106.6225,26.4035,799
67,106.5374,26.3793,782
68,106.6733,26.5114,774
69,106.6455,26.6234,765
70,106.5075,26.3543,756
71,106.5373,26.3793,699
72,106.4824,26.5458,692
73,106.5376,26.3788,675
74,106.4799,26.3578,667
75,106.6228,26.4033,649
76,106.4824,26.5463,633
77,106.6229,26.4033,632
78,106.5581,26.3948,624
79,106.5376,26.3792,607
80,106.5372,26.3791,594
81,106.6733,26.5115,583
82,106.5428,26.3805,573
83,106.6227,26.4033,572
84,106.6224,26.4033,557
85,106.4821,26.5463,550
86,106.5372,26.3792,549
87,106.6225,26.4033,512
88,106.4823,26.5458,511
89,106.4471,26.3498,510
90,106.5373,26.3787,504
91,106.4825,26.5458,501
92,106.6226,26.4034,499
93,106.4825,26.5462,493
94,106.5414,26.3911,492
95,106.5375,26.3793,491
96,106.6229,26.4031,481
97,106.6455,26.6232,453
98,106.558,26.3947,439
99,106.4826,26.546,439
100,106.48,26.3578,430
101,106.6227,26.4032,428
102,106.5425,26.3804,428
103,106.6655,26.433,421
104,106.4821,26.546,399
105,106.623,26.403,397
106,106.5372,26.379,394
107,106.4823,26.5457,393
108,106.623,26.4032,393
109,106.482,26.5462,391
110,106.4798,26.3578,389
111,106.6813,26.3397,388
112,106.4928,26.4422,385
113,106.6545,26.4127,385
114,106.6226,26.4033,384
115,106.6228,26.4031,383
116,106.5378,26.3789,383
117,106.4822,26.5459,382
118,106.7049,26.5011,380
119,106.48,26.3579,377
120,106.6459,26.6234,370
121,106.6813,26.3398,370
122,106.4755,26.3623,362
123,106.4929,26.4423,356
124,106.4929,26.4422,354
125,106.4826,26.5459,353
126,106.558,26.3951,352
127,106.4826,26.5461,347
128,106.6734,26.5114,346
129,106.623,26.4031,342
130,106.5377,26.3791,338
131,106.6539,26.4127,332
132,106.4798,26.3579,324
133,106.5376,26.3786,323
134,106.5372,26.3789,317
135,106.5426,26.3803,311
136,106.4823,26.5464,308
137,106.558,26.395,305
138,106.6229,26.4034,304
139,106.5376,26.3787,304
140,106.6454,26.6232,302
141,106.5372,26.3788,302
142,106.6719,26.44,300
143,106.5377,26.3788,297
144,106.558,26.3949,289
145,106.5378,26.379,285
146,106.4799,26.358,284
147,106.745,26.6296,281
148,106.6457,26.6235,277
149,106.6152,26.3744,274
150,106.672,26.44,274
151,106.6228,26.4034,272
152,106.4822,26.5464,272
153,106.4822,26.5456,271
154,106.6226,26.4035,265
155,106.623,26.4033,260
156,106.6456,26.6235,259
157,106.5577,26.3953,246
158,106.6852,26.7484,245
159,106.482,26.5461,241
160,106.6539,26.4128,240
161,106.6227,26.4034,238
162,106.6229,26.403,226
163,106.6249,26.6884,224
164,106.6223,26.4033,224
165,106.5581,26.3949,222
166,106.5425,26.3805,217
167,106.6719,26.4401,217
168,106.5378,26.3788,214
169,106.5427,26.3803,208
170,106.5374,26.3786,206
171,106.5063,26.5016,203
172,106.6458,26.6235,202
173,106.4928,26.4423,202
174,106.6455,26.6235,202
175,106.6227,26.4035,202
176,106.5428,26.3803,200
177,106.4825,26.5463,199
178,106.6225,26.4036,191
179,106.5578,26.3952,190
180,106.4824,26.5464,188
181,106.4822,26.5457,188
182,106.6228,26.4035,185
183,106.6459,26.6233,182
184,106.687,26.3378,179
185,106.6454,26.6234,178
186,106.5652,26.4199,178
187,106.5582,26.3946,173
188,106.4821,26.5459,173
189,106.6734,26.5115,172
190,106.5515,26.3863,171
191,106.5581,26.3946,171
192,106.5414,26.391,169
193,106.4822,26.5458,166
194,106.5667,26.4107,166
195,106.6226,26.4032,165
196,106.5386,26.396,165
197,106.5073,26.3543,164
198,106.6224,26.4032,159
199,106.5631,26.4004,159
200,106.6456,26.6231,159
201,106.505,26.3539,157
202,106.5049,26.3539,157
