wkday,hr,value,road,veh_series,avgTrpODO_km,avgTrpTime_min,avg_maxVhlSpd,avgEngSpd
3,17.5,7872,O,HS5,19.39,23.96,50,1049
2,18,7500,O,HS5,14.72,22.67,48.43,1048
3,17,7457,O,HS5,21.26,24.85,50.29,1057
3,8,7382,O,HS5,30.84,25,54.05,1071
2,17.5,7355,O,HS5,15.4,23.43,49.37,1053
2,8.5,7246,O,HS5,28.28,25.79,50.79,1058
6,9,7218,O,HS5,19.18,24.87,47.89,1043
7,9,7211,O,HS5,27.97,28.44,50.36,1061
5,9,7194,O,HS5,26.73,24.27,48.35,1060
3,18,7192,O,HS5,13.89,23.22,49.33,1051
2,12,7185,O,HS5,17.51,19.42,49.67,1069
2,17,7151,O,HS5,14.65,23.85,48.59,1055
1,9.5,7125,O,HS5,30.89,27.28,49.33,1051
3,8.5,7109,O,HS5,22.58,24.37,49.72,1060
6,8.5,7107,O,HS5,35.29,25.87,51.76,1060
2,9,7094,O,HS5,20.84,25.06,47.48,1050
3,16.5,7088,O,HS5,13.59,24,48.13,1048
2,8,7024,O,HS5,27.92,27.53,55.46,1072
6,9.5,6962,O,HS5,17.79,23.88,46.96,1044
3,9,6954,O,HS5,19.18,24.46,48.15,1052
7,9.5,6940,O,HS5,33.77,28.4,50.09,1057
3,16,6931,O,HS5,15.49,25.11,49.31,1054
2,11,6909,O,HS5,13.65,21.55,47.7,1051
2,16.5,6885,O,HS5,13.03,23.1,47.75,1052
1,10,6841,O,HS5,22.03,27.61,50.79,1047
6,11.5,6821,O,HS5,14.3,21.12,49.08,1052
5,9.5,6814,O,HS5,18.52,22.87,45.92,1046
2,11.5,6806,O,HS5,11.05,19.45,48.19,1057
6,17.5,6790,O,HS5,14.83,26.59,50.92,1048
4,17.5,6777,O,HS5,19.38,23.99,49.66,1046
2,9.5,6774,O,HS5,17.4,25.66,48.33,1049
1,9,6774,O,HS5,25.5,28.26,50.68,1058
3,15.5,6760,O,HS5,19.84,26.32,49.64,1044
3,11.5,6759,O,HS5,17.98,19.01,48.33,1059
7,10,6732,O,HS5,19.81,27.42,50.76,1057
2,14,6696,O,HS5,24.94,25.75,48.99,1050
2,16,6686,O,HS5,21.25,24.75,49.09,1047
6,16.5,6684,O,HS5,17.35,26.21,49.3,1055
3,9.5,6670,O,HS5,17.98,24.37,47.3,1045
2,10.5,6660,O,HS5,13.8,22.59,46.82,1043
7,10.5,6660,O,HS5,18.52,26.36,50.08,1056
4,17,6645,O,HS5,12.67,25.03,50.78,1060
6,17,6633,O,HS5,17,26.77,50.47,1057
2,10,6630,O,HS5,17.12,24.82,48.25,1050
4,9,6620,O,HS5,19.47,24.38,47.89,1054
5,8.5,6612,O,HS5,23.7,25.88,51.76,1067
1,10.5,6610,O,HS5,21.58,26.98,50.67,1045
7,8.5,6597,O,HS5,29.15,28.43,52.81,1077
6,18,6575,O,HS5,13.39,24.81,49.67,1043
6,8,6574,O,HS5,30.54,27.22,54.64,1081
1,11,6549,O,HS5,17.55,25.19,50.31,1046
6,10,6546,O,HS5,20.62,23.68,46.67,1045
4,18,6472,O,HS5,12.94,23.47,49.54,1047
3,12,6463,O,HS5,12.32,20.07,48.86,1066
5,10,6461,O,HS5,15.92,23.94,47.32,1047
2,14.5,6457,O,HS5,15.88,24.72,48.19,1052
7,16,6421,O,HS5,15.96,25.27,49.09,1053
6,16,6390,O,HS5,19.04,26.3,48.67,1050
6,14,6368,O,HS5,16.79,27.67,50.64,1054
2,13.5,6368,O,HS5,24.53,26.25,50.08,1055
5,8,6364,O,HS5,28.01,27.74,56.5,1079
6,10.5,6343,O,HS5,13.69,24.09,47.65,1037
4,8.5,6322,O,HS5,24,26,51.45,1059
5,18,6313,O,HS5,12.28,23.07,48.84,1044
5,17.5,6313,O,HS5,12.02,24.14,49.75,1046
6,14.5,6313,O,HS5,16.71,26.96,49.99,1053
5,15.5,6265,O,HS5,17.46,24.9,48.81,1051
2,15,6260,O,HS5,23,24.33,47.64,1057
5,17,6258,O,HS5,13.55,24.12,49.53,1051
4,10,6253,O,HS5,15.36,22.39,47.45,1047
1,11.5,6228,O,HS5,14.95,23.67,50.7,1056
4,9.5,6215,O,HS5,24.65,22.82,45.75,1040
3,18.5,6210,O,HS5,13.91,22.36,48.91,1047
6,12,6208,O,HS5,13.78,21.4,50.07,1071
6,15.5,6196,O,HS5,17.8,27.12,49.52,1053
4,10.5,6184,O,HS5,12.98,21.74,47.66,1044
1,17.5,6182,O,HS5,18.58,24.91,51.08,1055
6,11,6180,O,HS5,22.27,22.12,47.38,1038
5,15,6173,O,HS5,21.51,24.55,49.7,1060
3,10,6165,O,HS5,16.55,22.8,46.06,1038
1,8.5,6148,O,HS5,35.77,28.38,52.29,1078
3,15,6144,O,HS5,20.7,26.53,49.52,1058
2,15.5,6139,O,HS5,19.67,24.7,47.8,1052
4,8,6138,O,HS5,27.17,27.17,56.11,1079
2,18.5,6125,O,HS5,12.61,21.35,48.23,1049
7,14.5,6123,O,HS5,16.58,30.32,52,1053
7,17.5,6122,O,HS5,14.76,24.58,50.76,1057
6,15,6115,O,HS5,15.21,26.63,49.8,1058
