road,value,avgVhlSpd,mileage_km,vin
O,329290,126.86,104633.45,LFB1E6677KJB00700
O,260358,131.03,83440.46,LFB1E6070KJB00496
O,249488,121.8,77526.25,LFB1E6071KJB00510
O,231198,127.39,69355.99,LFB1E6072KJB00502
G,220651,88.16,61144.73,LFB1E6079KJB00495
G,214286,89.93,62860.07,LFB1E607XKJB00456
G,206115,88.62,57765.1,LFB1E6677KJB00793
G,189182,85.79,62520.86,LFB1E6676KJB00946
G,151211,87.46,42508.15,LFB1E6078KJB00696
O,93447,37.56,10386.25,LFB1E6075KJB00512
O,90403,27.82,8708.08,LFB1E6673KJB03836
O,89567,29.06,6817.45,LFB1E6676KJB02941
O,89151,23.2,14296.06,LFB1E6076KJB02544
G,88247,104.84,27498.6,LFB1E6672KJB04279
O,81425,30.87,6934.64,LFB1E6074KJB03725
S,80939,67.78,15724.72,LFB1E607XKJB00456
O,80330,34.41,7358.52,LFB1E6674KJB03800
S,79572,67.78,16335.31,LFB1E6079KJB00495
S,78695,88.98,18751.81,LFB1E6677KJB00700
G,76645,107,26141.42,LFB1E6670KJB01252
O,76463,27.94,7173.33,LFB1E6679KJB06255
S,76273,67.06,14034.13,LFB1E6677KJB00793
O,73785,27.35,9595.86,LFB1E667XKJB03039
O,73238,49.79,9256.43,LFB1E6672KJB00734
O,72453,30.94,6235.21,LFB1E6679KJB05266
O,71680,45.01,9261.5,LFB1E6075KJB00543
O,71519,40.7,7972.91,LFB1E6679KJB02920
O,71211,35.64,7728.43,LFB1E6078KJB00584
O,70968,31.11,7281.97,LFB1E6675KJB03093
O,69762,61.73,12616.48,LFB1E607XKJB00456
O,68983,29.78,6003.01,LFB1E6677KJB03273
G,68548,109.71,21119.92,LFB1E6078KJB04280
G,68402,109.84,21515.97,LFB1E607XKJB04278
O,67478,58.68,12425.95,LFB1E6079KJB00495
O,66651,38.76,9150.99,LFB1E6078KJB04246
O,65964,35.09,6821.83,LFB1E6674KJB02209
O,65646,32.76,6428.29,LFB1E6079KJB05664
S,65242,63.42,15074.44,LFB1E6676KJB00946
O,64471,58.46,10852.68,LFB1E6677KJB00793
O,62948,35.35,5979.58,LFB1E6675KJB02462
