acc,category,value
-9.98,AX,5
-9.96,AX,1
-9.93,AX,2
-9.9,AX,2
-9.87,AX,2
-9.85,AX,1
-9.82,AX,4
-9.77,AX,4
-9.74,AY,1
-9.74,AX,1
-9.71,AX,2
-9.68,AX,4
-9.66,AX,1
-9.63,AX,4
-9.6,AX,4
-9.58,AX,2
-9.55,AX,2
-9.52,AY,1
-9.52,AX,7
-9.49,AX,345
-9.47,AX,3016
-9.44,AX,2155
-9.41,AY,1
-9.41,AX,2107
-9.39,AX,145
-9.36,AY,1
-9.36,AX,9
-9.33,AX,3
-9.3,AX,2
-9.28,AY,2
-9.28,AX,6
-9.25,AY,1
-9.25,AX,5
-9.22,AY,2
-9.22,AX,1
-9.2,AY,1
-9.2,AX,2
-9.17,AX,5
-9.11,AY,1
-9.11,AX,5
-9.09,AY,3
-9.09,AX,1
-9.06,AY,2
-9.06,AX,5
-9.03,AY,1
-9.03,AX,2
-9.01,AX,2
-8.98,AX,2
-8.95,AY,6
-8.95,AX,2
-8.92,AX,4
-8.9,AY,4
-8.9,AX,6
-8.87,AY,5
-8.87,AX,3
-8.84,AY,1
-8.84,AX,5
-8.82,AY,1
-8.82,AX,2
-8.79,AY,3
-8.79,AX,5
-8.76,AY,6
-8.76,AX,3
-8.73,AY,4
-8.73,AX,1
-8.71,AY,3
-8.71,AX,7
-8.68,AY,3
-8.68,AX,3
-8.65,AY,7
-8.65,AX,6
-8.63,AY,3
-8.63,AX,2
-8.6,AY,18
-8.6,AX,5
-8.57,AY,7
-8.57,AX,4
-8.54,AY,7
-8.54,AX,3
-8.52,AY,3
-8.49,AY,13
-8.49,AX,4
-8.46,AY,7
-8.46,AX,6
-8.44,AY,13
-8.44,AX,21
-8.41,AY,4
-8.41,AX,4
-8.38,AY,9
-8.38,AX,2
-8.36,AY,9
-8.36,AX,7
-8.33,AY,22
-8.33,AX,4
-8.3,AY,4
-8.3,AX,1
-8.27,AY,17
-8.27,AX,6
-8.25,AY,12
-8.25,AX,4
-8.22,AY,4
-8.22,AX,4
-8.19,AY,15
-8.19,AX,3
-8.17,AY,19
-8.17,AX,4
-8.14,AY,17
-8.14,AX,5
-8.11,AY,9
-8.11,AX,2
-8.08,AY,18
-8.08,AX,5
-8.06,AY,23
-8.06,AX,2
-8.03,AY,30
-8.03,AX,3
-8,AY,4
-8,AX,2
-7.98,AY,16
-7.98,AX,5
-7.95,AY,21
-7.95,AX,8
-7.92,AY,23
-7.92,AX,6
-7.89,AY,17
-7.89,AX,2
-7.87,AY,24
-7.87,AX,3
-7.84,AY,21
-7.84,AX,4
-7.81,AY,16
-7.81,AX,7
-7.79,AY,14
-7.79,AX,2
-7.76,AY,18
-7.76,AX,2
-7.73,AY,24
-7.73,AX,5
-7.7,AY,6
-7.7,AX,5
-7.68,AY,18
-7.68,AX,4
-7.65,AY,19
-7.65,AX,7
-7.62,AY,33
-7.62,AX,4
-7.6,AY,11
-7.6,AX,3
-7.57,AY,14
-7.57,AX,4
