city,name,value,veh_series
湖南省-湘潭市,50%+,16,HS5
吉林省-长春市,50%+,2423,HS5
湖北省-咸宁市,50%+,8,HS5
黑龙江省-鸡西市,0~50%,73,HS5
山西省-晋中市,0~50%,930,HS5
重庆市-梁平县,0~50%,155,HS5
江苏省-宿迁市,0~50%,322,HS5
新疆维吾尔自治区-阿克苏地区,50%+,3,HS5
内蒙古自治区-巴彦淖尔市,50%+,15,HS5
内蒙古自治区-阿拉善盟,50%+,29,HS5
四川省-达州市,0~50%,1988,HS5
湖南省-长沙市,50%+,18,HS5
上海市-上海市,0~50%,130,HS5
重庆市-大足县,50%+,1,HS5
四川省-甘孜藏族自治州,0~50%,80,HS5
广西壮族自治区-防城港市,0~50%,143,HS5
内蒙古自治区-呼和浩特市,50%+,24,HS5
贵州省-毕节地区,50%+,33,HS5
云南省-曲靖市,50%+,17,HS5
贵州省-六盘水市,0~50%,1277,HS5
重庆市-重庆市,50%+,1,HS5
江苏省-镇江市,50%+,3,HS5
天津市-静海县,0~50%,277,HS5
海南省-白沙黎族自治县,0~50%,3,HS5
河北省-衡水市,50%+,17,HS5
广西壮族自治区-河池市,50%+,11,HS5
江西省-鹰潭市,50%+,1,HS5
西藏自治区-拉萨市,50%+,2,HS5
辽宁省-营口市,0~50%,260,HS5
吉林省-白山市,0~50%,201,HS5
湖南省-株洲市,50%+,9,HS5
上海市-奉贤区,50%+,1,HS5
陕西省-渭南市,50%+,12,HS5
辽宁省-锦州市,0~50%,430,HS5
江苏省-南通市,50%+,15,HS5
江苏省-淮安市,50%+,10,HS5
天津市-宁河县,50%+,5,HS5
广西壮族自治区-桂林市,50%+,30,HS5
四川省-宜宾市,50%+,7,HS5
山东省-德州市,0~50%,1100,HS5
广东省-茂名市,0~50%,244,HS5
湖北省-随州市,50%+,3,HS5
贵州省-黔南布依族苗族自治州,0~50%,2551,HS5
重庆市-南川区,50%+,3,HS5
重庆市-彭水苗族土家族自治县,50%+,3,HS5
河北省-保定市,0~50%,3482,HS5
重庆市-酉阳土家族苗族自治县,50%+,1,HS5
海南省-东方市,0~50%,76,HS5
广东省-深圳市,0~50%,1433,HS5
广西壮族自治区-贺州市,0~50%,522,HS5
天津市-东丽区,0~50%,465,HS5
河南省-平顶山市,0~50%,679,HS5
江苏省-江苏省,0~50%,133,HS5
北京市-昌平区,0~50%,681,HS5
新疆维吾尔自治区-五家渠市,0~50%,9,HS5
重庆市-南岸区,50%+,2,HS5
黑龙江省-牡丹江市,0~50%,146,HS5
天津市-蓟县,0~50%,102,HS5
广东省-广州市,0~50%,4611,HS5
内蒙古自治区-包头市,0~50%,734,HS5
辽宁省-葫芦岛市,50%+,18,HS5
江西省-江西省,0~50%,23,HS5
重庆市-万州区,0~50%,900,HS5
重庆市-合川区,50%+,7,HS5
山东省-枣庄市,0~50%,398,HS5
北京市-丰台区,0~50%,219,HS5
陕西省-西安市,0~50%,2268,HS5
广西壮族自治区-南宁市,0~50%,1965,HS5
重庆市-巫山县,0~50%,60,HS5
广西壮族自治区-崇左市,50%+,2,HS5
云南省-昆明市,0~50%,4136,HS5
宁夏回族自治区-银川市,50%+,64,HS5
山西省-运城市,0~50%,807,HS5
北京市-大兴区,50%+,6,HS5
云南省-西双版纳傣族自治州,0~50%,237,HS5
四川省-内江市,0~50%,556,HS5
内蒙古自治区-锡林郭勒盟,0~50%,658,HS5
新疆维吾尔自治区-阿拉尔市,0~50%,10,HS5
青海省-海西蒙古族藏族自治州,50%+,167,HS5
山东省-威海市,50%+,2,HS5
山东省-聊城市,50%+,6,HS5
青海省-海东地区,0~50%,1107,HS5
黑龙江省-鹤岗市,0~50%,29,HS5
吉林省-白城市,50%+,30,HS5
河南省-开封市,0~50%,728,HS5
湖南省-湘西土家族苗族自治州,50%+,10,HS5
重庆市-涪陵区,0~50%,711,HS5
湖南省-常德市,50%+,9,HS5
重庆市-綦江县,0~50%,395,HS5
河北省-沧州市,0~50%,1292,HS5
广东省-汕头市,50%+,1,HS5
