name,value,position,veh_series,avgOStime_min,avgOSmileage_km,vin
0~50%,143,inside,HS5,4.54,7.79,LFB1E667XKJB04918
0~50%,4,inside,HS5,1.88,3.5,LFB1E6673KJB07305
50%+,3,inside,HS5,19.56,38,LFB1E6679KJB02884
50%+,1,inside,HS5,13,25,LFB1E6672KJB13385
50%+,3,inside,HS5,34.44,69,LFB1E6670KJB14762
50%+,1,inside,HS5,5.87,11,LFB1E6679KJB04800
0~50%,1,inside,HS5,3.17,5,LFB1E6078KJB11312
0~50%,12,inside,HS5,3.39,5.58,LFB1E6078KJB03422
0~50%,21,inside,HS5,8.37,15,LFB1E6671KJB07853
0~50%,1,inside,HS5,0.68,1,LFB1E6072KJB17736
50%+,2,inside,HS5,35.36,-37,LFB1E6074KJB10643
50%+,2,inside,HS5,24.33,48.5,LFB1E6078KJB08832
0~50%,16,inside,HS5,8.55,14.94,LFB1E6672KJB04749
50%+,1,inside,HS5,8.33,16,LFB1E6670KJB09450
0~50%,66,inside,HS5,6.44,11.23,LFB1E6076KJB03970
0~50%,209,inside,HS5,8.14,15.29,LFB1E6078KJB02593
0~50%,77,inside,HS5,4.34,8.7,LFB1E6673KJB06901
0~50%,2,inside,HS5,0.17,0,LFB1E667XKJB16048
0~50%,76,inside,HS5,8.79,15.42,LFB1E6674KJB09290
0~50%,1,inside,HS5,2.65,4,LFB1E6670KJB08279
0~50%,161,inside,HS5,3.55,6.81,LFB1E6670KJB06788
0~50%,1,inside,HS5,0.17,1,LFB1E6672KJB15217
50%+,2,inside,HS5,23.27,43,LFB1E6673KJB03478
50%+,1,inside,HS5,9.5,19,LFB1E6670KJB12509
0~50%,1,inside,HS5,0.17,1,LFB1E6678KJB18428
0~50%,117,inside,HS5,8.51,15.34,LFB1E6674KJB12349
0~50%,3,inside,HS5,2.68,12.33,LFB1E6075KJB14202
0~50%,57,inside,HS5,13.96,29.63,LFB1E6075KJB06312
50%+,1,inside,HS5,13.67,27,LFB1E6075KJB02227
0~50%,62,inside,HS5,10.28,18.42,LFB1E6670KJB09366
0~50%,4,inside,HS5,10.13,0,LFB1E6670KJB15765
0~50%,7,inside,HS5,16.33,30.29,LFB1E667XKJB15644
50%+,2,inside,HS5,25.71,103.5,LFB1E6073KJB04266
0~50%,14,inside,HS5,10.28,17.93,LFB1E6674KJB13436
0~50%,2,inside,HS5,0.51,2.5,LFB1E6075KJB05483
0~50%,36,inside,HS5,10.94,19.56,LFB1E6672KJB08414
0~50%,25,inside,HS5,9.64,19.16,LFB1E6073KJB08916
0~50%,2,inside,HS5,1.42,2.5,LFB1E6077KJB06022
50%+,1,inside,HS5,4.18,9,LFB1E6074KJB07080
50%+,1,inside,HS5,10.83,23,LFB1E6070KJB09974
0~50%,124,inside,HS5,6.65,11.55,LFB1E6672KJB07585
50%+,1,inside,HS5,72.83,134,LFB1E6673KJB13542
0~50%,1,inside,HS5,0.2,0,LFB1E6070KJB18609
50%+,3,inside,HS5,21.94,41,LFB1E6673KJB05652
0~50%,59,inside,HS5,4.48,7.63,LFB1E6077KJB13083
0~50%,31,inside,HS5,4.75,8.16,LFB1E6671KJB13748
0~50%,42,inside,HS5,2.21,3.79,LFB1E6674KJB08124
0~50%,4,inside,HS5,5.2,8.5,LFB1E6075KJB06570
0~50%,18,inside,HS5,1.79,3.11,LFB1E6671KJB05858
0~50%,1,inside,HS5,1.17,2,LFB1E6672KJB15900
50%+,3,inside,HS5,21.88,45,LFB1E6678KJB08627
0~50%,2,inside,HS5,0.17,0,LFB1E6074KJB06334
0~50%,147,inside,HS5,6.36,11.29,LFB1E6674KJB13694
0~50%,1,inside,HS5,0.17,1,LFB1E6079KJB07818
0~50%,49,inside,HS5,10.01,15.69,LFB1E6674KJB07295
0~50%,93,inside,HS5,6.66,11.89,LFB1E6671KJB08436
0~50%,64,inside,HS5,7.21,12.86,LFB1E6673KJB07059
0~50%,37,inside,HS5,6.34,15,LFB1E6673KJB05568
0~50%,36,inside,HS5,5.27,9.36,LFB1E6671KJB06945
0~50%,28,inside,HS5,9.31,16.79,LFB1E6074KJB07421
0~50%,1,inside,HS5,8,13,LFB1E6078KJB11066
0~50%,32,inside,HS5,3.52,6.19,LFB1E6674KJB07720
0~50%,50,inside,HS5,10.86,20.16,LFB1E6072KJB08938
0~50%,19,inside,HS5,1.63,2.95,LFB1E6076KJB04553
50%+,2,inside,HS5,43.08,92,LFB1E667XKJB14820
0~50%,6,inside,HS5,2.14,3.33,LFB1E6075KJB10716
0~50%,2,inside,HS5,0.17,0.5,LFB1E6674KJB08382
0~50%,3,inside,HS5,3.61,5.33,LFB1E6674KJB06891
0~50%,38,inside,HS5,1.14,1.92,LFB1E6074KJB06592
0~50%,1,inside,HS5,0.17,1,LFB1E6673KJB14545
0~50%,105,inside,HS5,3.45,5.83,LFB1E6673KJB06655
0~50%,16,inside,HS5,4.25,7.56,LFB1E6677KJB10160
0~50%,11,inside,HS5,2.17,3.73,LFB1E6672KJB14309
0~50%,2,inside,HS5,0.11,0,LFB1E6075KJB11378
0~50%,30,inside,HS5,14.86,27,LFB1E6672KJB06419
0~50%,27,inside,HS5,2.01,3.41,LFB1E6078KJB12153
0~50%,53,inside,HS5,6.85,13.17,LFB1E6679KJB09866
0~50%,7,inside,HS5,12.5,21.71,LFB1E6076KJB07131
0~50%,154,inside,HS5,6.83,12.19,LFB1E6672KJB04928
0~50%,1,inside,HS5,0.17,1,LFB1E6075KJB11803
0~50%,146,inside,HS5,8.24,15.64,LFB1E6074KJB09170
0~50%,10,inside,HS5,7.87,14.9,LFB1E667XKJB14736
50%+,1,inside,HS5,3.83,9,LFB1E6073KJB11248
50%+,2,inside,HS5,17.93,35,LFB1E6671KJB06525
50%+,2,inside,HS5,12.55,38,LFB1E6673KJB05148
50%+,2,inside,HS5,18.75,37.5,LFB1E6673KJB03657
0~50%,5,inside,HS5,3.98,12.4,LFB1E6672KJB13905
0~50%,4,inside,HS5,0.83,1.5,LFB1E6075KJB10974
0~50%,17,inside,HS5,16.09,29.76,LFB1E6078KJB13240
50%+,13,inside,HS5,34.32,70.38,LFB1E6076KJB04133
0~50%,9,inside,HS5,6.11,10.56,LFB1E6075KJB04575
0~50%,196,inside,HS5,3.95,7.21,LFB1E6074KJB04339
0~50%,16,inside,HS5,10.2,17.69,LFB1E6077KJB13004
0~50%,113,inside,HS5,7.73,13.65,LFB1E6671KJB09781
0~50%,16,inside,HS5,11.73,20.44,LFB1E6672KJB14567
0~50%,5,inside,HS5,2.53,4,LFB1E6670KJB09545
50%+,2,inside,HS5,102.76,206,LFB1E6072KJB07689
0~50%,5,inside,HS5,5.75,10.2,LFB1E6670KJB15944
0~50%,77,inside,HS5,3.91,7.4,LFB1E667XKJB07933
0~50%,7,inside,HS5,3.72,7.71,LFB1E6674KJB11699
0~50%,27,inside,HS5,2.7,4.56,LFB1E6077KJB04285
0~50%,37,inside,HS5,2.91,5.22,LFB1E6076KJB10448
0~50%,60,inside,HS5,4.65,8.1,LFB1E6076KJB04049
0~50%,24,inside,HS5,17.32,30.75,LFB1E6077KJB02794
0~50%,11,inside,HS5,0.51,1,LFB1E6674KJB05725
0~50%,53,inside,HS5,6.24,11.53,LFB1E6077KJB06201
0~50%,50,inside,HS5,6.89,13.42,LFB1E6077KJB12600
0~50%,4,inside,HS5,13.17,23,LFB1E6672KJB15654
0~50%,16,inside,HS5,2.22,3.75,LFB1E6671KJB15418
0~50%,50,inside,HS5,4.3,7.58,LFB1E6672KJB07764
50%+,1,inside,HS5,28,57,LFB1E6674KJB02162
50%+,1,inside,HS5,21.83,45,LFB1E6673KJB13721
0~50%,25,inside,HS5,11.01,19.68,LFB1E6074KJB10996
0~50%,17,inside,HS5,4.45,7.71,LFB1E6674KJB04896
0~50%,28,inside,HS5,8.59,18.07,LFB1E6077KJB13262
0~50%,31,inside,HS5,8.48,14.84,LFB1E6077KJB11771
0~50%,66,inside,HS5,8.82,16.02,LFB1E6074KJB08004
0~50%,2,inside,HS5,0.17,0,LFB1E6675KJB03143
50%+,2,inside,HS5,9.58,18,LFB1E6679KJB11536
0~50%,1,inside,HS5,0.2,1,LFB1E667XKJB17572
0~50%,131,inside,HS5,10.84,22.04,LFB1E6077KJB05372
50%+,4,inside,HS5,57.08,113,LFB1E6679KJB03646
0~50%,1,inside,HS5,1,2,LFB1E6674KJB06812
0~50%,11,inside,HS5,2.18,3.82,LFB1E6074KJB12912
0~50%,3,inside,HS5,0.83,1,LFB1E6076KJB11535
0~50%,14,inside,HS5,2.27,4.14,LFB1E6671KJB14589
50%+,8,inside,HS5,38.45,77.5,LFB1E6673KJB06493
0~50%,2,inside,HS5,1,1.5,LFB1E6074KJB15065
50%+,2,inside,HS5,63.08,124.5,LFB1E6670KJB07634
0~50%,21,inside,HS5,5.01,9.24,LFB1E6672KJB16741
50%+,1,inside,HS5,45.67,85,LFB1E6672KJB12656
0~50%,1003,inside,HS5,5.57,41695.49,LFB1E6677KJB00700
0~50%,42,inside,HS5,3.99,6.83,LFB1E607XKJB09948
50%+,1,inside,HS5,48.17,96,LFB1E6678KJB07977
0~50%,58,inside,HS5,11.01,19.24,LFB1E6674KJB05983
0~50%,6,inside,HS5,15.06,28.67,LFB1E6076KJB14113
0~50%,43,inside,HS5,4.96,8.95,LFB1E6679KJB08958
0~50%,37,inside,HS5,5.72,10.22,LFB1E6671KJB09277
50%+,2,inside,HS5,25.98,49.5,LFB1E667XKJB08600
0~50%,7,inside,HS5,1.62,2.86,LFB1E6670KJB13949
0~50%,1,inside,HS5,0.17,0,LFB1E667XKJB13828
50%+,1,inside,HS5,15,26,LFB1E6074KJB04177
0~50%,3,inside,HS5,0.28,0,LFB1E607XKJB00571
0~50%,61,inside,HS5,9.12,16.69,LFB1E6076KJB05394
0~50%,74,inside,HS5,19.22,34.77,LFB1E667XKJB05938
0~50%,2,inside,HS5,1.25,2,LFB1E6075KJB13048
0~50%,152,inside,HS5,9.01,16.21,LFB1E6074KJB06771
0~50%,117,inside,HS5,2.85,5.1,LFB1E6076KJB11793
0~50%,5,inside,HS5,3.03,5.4,LFB1E6673KJB08325
50%+,1,inside,HS5,41.87,96,LFB1E6679KJB13710
0~50%,1,inside,HS5,0.17,0,LFB1E6079KJB17636
0~50%,104,inside,HS5,10.41,18.88,LFB1E6075KJB03667
0~50%,14,inside,HS5,2.53,4.29,LFB1E6076KJB07310
50%+,5,inside,HS5,18.6,38.2,LFB1E6671KJB12678
0~50%,2,inside,HS5,0.17,0,LFB1E6671KJB16763
0~50%,19,inside,HS5,12.52,26.84,LFB1E6673KJB13895
50%+,3,inside,HS5,15.06,30.33,LFB1E6672KJB08431
0~50%,223,inside,HS5,4.04,7.06,LFB1E6077KJB02715
0~50%,10,inside,HS5,4.22,7.4,LFB1E6075KJB14135
50%+,1,inside,HS5,13.33,25,LFB1E6073KJB05028
0~50%,31,inside,HS5,2.02,3.87,LFB1E6076KJB04990
50%+,2,inside,HS5,31.08,62.5,LFB1E6673KJB03836
0~50%,12,inside,HS5,5.07,18.83,LFB1E6075KJB06245
0~50%,85,inside,HS5,4.25,7.59,LFB1E6075KJB12644
50%+,2,inside,HS5,27.5,52.5,LFB1E6076KJB10711
0~50%,10,inside,HS5,6.65,12.1,LFB1E667XKJB15577
0~50%,72,inside,HS5,2.93,5.21,LFB1E6674KJB06308
