veh_series,road,HiBeam,LowBeam,top,vin
HS5,G,1.22,50,51.22,LFB1E6671KJB10025
HS5,G,0,0.93,0.93,LFB1E6673KJB14562
HS5,G,9.95,91.39,101.34,LFB1E6670KJB05107
HS5,G,2.48,72.08,74.56,LFB1E6070KJB02684
HS5,G,0.12,80.9,81.02,LFB1E6676KJB07993
HS5,G,35.6,57.14,92.74,LFB1E6076KJB13849
HS5,G,5.41,52.78,58.19,LFB1E6674KJB05417
HS5,G,0.77,26.41,27.18,LFB1E6070KJB04645
HS5,G,0.6,72.24,72.84,LFB1E6071KJB11524
HS5,G,9.11,64.62,73.73,LFB1E6077KJB03556
HS5,G,18.13,39.36,57.49,LFB1E667XKJB04580
HS5,G,20.98,41.97,62.95,LFB1E6679KJB10645
HS5,G,25,67.86,92.86,LFB1E6679KJB12606
HS5,G,70.18,75.89,146.07,LFB1E6070KJB07559
HS5,G,0,0,0,LFB1E667XKJB06541
HS5,G,0.79,8.14,8.93,LFB1E6071KJB12477
HS5,G,19.54,71.7,91.24,LFB1E6675KJB09900
HS5,G,0,100,100,LFB1E607XKJB11389
HS5,G,25,75,100,LFB1E6675KJB08892
HS5,G,31.64,81.04,112.68,LFB1E6072KJB04145
HS5,G,1.88,64.91,66.79,LFB1E6676KJB15771
HS5,G,0.95,74.5,75.45,LFB1E6674KJB11234
HS5,G,7.29,75.35,82.64,LFB1E6072KJB05098
HS5,G,8.58,59.51,68.09,LFB1E6073KJB03893
HS5,G,21.57,76.08,97.65,LFB1E607XKJB08993
HS5,G,93.37,100,193.37,LFB1E6670KJB09481
HS5,G,0,49.43,49.43,LFB1E6673KJB10933
HS5,G,13.57,17.61,31.18,LFB1E6076KJB07369
HS5,G,0,1.74,1.74,LFB1E6679KJB04165
HS5,G,0,57.96,57.96,LFB1E6079KJB02750
HS5,G,57.19,97.8,154.99,LFB1E6672KJB06968
HS5,G,4.22,74.87,79.09,LFB1E6673KJB13847
HS5,G,0,0,0,LFB1E6078KJB15957
HS5,G,27.72,66.71,94.43,LFB1E6075KJB07315
HS5,G,8.56,17.16,25.72,LFB1E6079KJB05664
HS5,G,98.59,100,198.59,LFB1E6079KJB07625
HS5,G,0,73.33,73.33,LFB1E6676KJB09291
HS5,G,0,0,0,LFB1E6075KJB08268
HS5,G,0.09,36.59,36.68,LFB1E6678KJB05825
HS5,G,0,96.67,96.67,LFB1E6076KJB15147
HS5,G,0,8.33,8.33,LFB1E667XKJB03865
HS5,G,100,100,200,LFB1E6076KJB17108
HS5,G,0,0,0,LFB1E6079KJB08578
HS5,G,0,56.67,56.67,LFB1E6672KJB12785
HS5,G,14,90.97,104.97,LFB1E6670KJB10209
HS5,G,47.81,100,147.81,LFB1E6074KJB06253
HS5,G,12.73,65.7,78.43,LFB1E6079KJB11481
HS5,G,3.24,93.44,96.68,LFB1E6078KJB06563
HS5,G,36.56,51.86,88.42,LFB1E6070KJB11708
HS5,G,11.66,23.09,34.75,LFB1E6074KJB09167
HS5,G,29.14,70.95,100.09,LFB1E6673KJB07367
HS5,G,5.56,44.44,50,LFB1E6678KJB11642
HS5,G,3.45,41.38,44.83,LFB1E6077KJB10619
HS5,G,0,0,0,LFB1E6670KJB08766
HS5,G,6.81,77.86,84.67,LFB1E667XKJB11643
HS5,G,6.15,75,81.15,LFB1E6079KJB14395
HS5,G,0,50,50,LFB1E6671KJB13684
HS5,G,100,100,200,LFB1E6678KJB13603
HS5,G,0,0,0,LFB1E667XKJB13604
HS5,G,0,40,40,LFB1E6073KJB07152
HS5,G,26.82,55.14,81.96,LFB1E6672KJB03391
HS5,G,0.14,6.03,6.17,LFB1E6675KJB13994
HS5,G,0.02,86.46,86.48,LFB1E6673KJB10270
HS5,G,6.96,30.88,37.84,LFB1E6074KJB14031
HS5,G,0,97.08,97.08,LFB1E6678KJB14556
HS5,G,56.39,86.83,143.22,LFB1E6073KJB09113
HS5,G,2.6,79.17,81.77,LFB1E6078KJB14341
HS5,G,0,0,0,LFB1E6677KJB12541
HS5,G,19.32,100,119.32,LFB1E6672KJB08266
HS5,G,2.66,71.62,74.28,LFB1E6072KJB06851
HS5,G,37.6,58.39,95.99,LFB1E6676KJB07623
HS5,G,0.69,67.98,68.67,LFB1E6073KJB10956
HS5,G,0,2.56,2.56,LFB1E6674KJB13940
HS5,G,29.17,75,104.17,LFB1E6670KJB16544
HS5,G,13.19,38.66,51.85,LFB1E6070KJB03267
HS5,G,36.37,45.46,81.83,LFB1E6673KJB16098
HS5,G,7.54,73.28,80.82,LFB1E6071KJB11099
HS5,G,20.31,42.53,62.84,LFB1E6075KJB10456
HS5,G,0,75.48,75.48,LFB1E6672KJB14083
HS5,G,41.8,76.69,118.49,LFB1E667XKJB07124
HS5,G,49.53,100,149.53,LFB1E6676KJB13440
HS5,G,0,12.87,12.87,LFB1E6673KJB03738
HS5,G,0,0,0,LFB1E6077KJB16954
HS5,G,0.44,74.94,75.38,LFB1E6678KJB08076
HS5,G,0,0,0,LFB1E6675KJB09475
HS5,G,0,55.56,55.56,LFB1E667XKJB08077
HS5,G,0,50,50,LFB1E6676KJB14393
HS5,G,0,68.42,68.42,LFB1E6078KJB07809
HS5,G,13.35,60.72,74.07,LFB1E6076KJB03077
HS5,G,10.27,60.38,70.65,LFB1E6678KJB10927
HS5,G,0,0,0,LFB1E6072KJB17543
HS5,G,0,76.18,76.18,LFB1E6677KJB06061
HS5,G,6.2,71.13,77.33,LFB1E667XKJB10928
HS5,G,4.55,59.94,64.49,LFB1E6070KJB13006
HS5,G,0,21.21,21.21,LFB1E6078KJB10712
HS5,G,0.54,58.82,59.36,LFB1E607XKJB09576
HS5,G,1.12,37.59,38.71,LFB1E6674KJB09421
HS5,G,5.28,55.66,60.94,LFB1E6675KJB16300
HS5,G,0,88.89,88.89,LFB1E6077KJB07560
HS5,G,22.22,90.53,112.75,LFB1E6078KJB13626
HS5,G,7.72,88.89,96.61,LFB1E6073KJB11301
HS5,G,0,53.57,53.57,LFB1E6071KJB16481
HS5,G,0,59.75,59.75,LFB1E6673KJB12469
HS5,G,0,72.76,72.76,LFB1E6073KJB10293
HS5,G,5.26,38.03,43.29,LFB1E6670KJB13868
HS5,G,0,87.5,87.5,LFB1E6677KJB12779
HS5,G,25,46.88,71.88,LFB1E6670KJB15829
HS5,G,39.58,84.35,123.93,LFB1E6675KJB02932
HS5,G,0,0,0,LFB1E6073KJB14215
HS5,G,0.06,58.65,58.71,LFB1E6671KJB05536
HS5,G,25,100,125,LFB1E6672KJB12415
HS5,G,45.35,78.56,123.91,LFB1E6079KJB08208
HS5,G,25.24,100,125.24,LFB1E6073KJB15168
HS5,G,0,82.73,82.73,LFB1E6674KJB16191
HS5,G,0,45.45,45.45,LFB1E6671KJB06489
HS5,G,3.68,67.33,71.01,LFB1E6078KJB02271
HS5,G,0.42,62,62.42,LFB1E667XKJB06409
HS5,G,0,0,0,LFB1E6078KJB04232
HS5,G,17.99,55.12,73.11,LFB1E6675KJB07807
HS5,G,0,0,0,LFB1E6072KJB11953
HS5,G,31.83,62.31,94.14,LFB1E6079KJB11111
HS5,G,10.71,56.72,67.43,LFB1E6673KJB05036
HS5,G,4.63,82.33,86.96,LFB1E6078KJB05185
HS5,G,22.64,56.05,78.69,LFB1E6078KJB07146
HS5,G,11.45,86.6,98.05,LFB1E6675KJB10710
HS5,G,0,0.81,0.81,LFB1E6071KJB09949
HS5,G,0.88,66.37,67.25,LFB1E6673KJB15890
HS5,G,27.09,27.6,54.69,LFB1E6678KJB10264
HS5,G,0,33.33,33.33,LFB1E6670KJB07388
HS5,G,0,52.07,52.07,LFB1E6672KJB03021
HS5,G,1.42,25.54,26.96,LFB1E6678KJB12225
HS5,G,2.93,77.48,80.41,LFB1E6677KJB07307
HS5,G,6.29,58.86,65.15,LFB1E6071KJB10891
HS5,G,18.67,18.67,37.34,LFB1E6674KJB06745
HS5,G,0,0,0,LFB1E6671KJB14267
HS5,G,23.76,49.08,72.84,LFB1E6677KJB06299
HS5,G,29.18,31.86,61.04,LFB1E6077KJB06845
HS5,G,9.52,77.11,86.63,LFB1E6674KJB07698
HS5,G,6.31,74.34,80.65,LFB1E6078KJB12010
HS5,G,0,0,0,LFB1E6071KJB14813
HS5,G,19.61,55.77,75.38,LFB1E6678KJB13178
HS5,G,27.24,72.25,99.49,LFB1E6670KJB10291
HS5,G,0.05,0.15,0.2,LFB1E6070KJB08887
HS5,G,7.01,85.22,92.23,LFB1E6678KJB15139
HS5,G,0,100,100,LFB1E6675KJB16538
HS5,G,0.11,63.18,63.29,LFB1E6670KJB12252
HS5,G,4.76,100,104.76,LFB1E6077KJB07798
HS5,G,1.51,75.22,76.73,LFB1E6077KJB09759
HS5,G,11.11,83.19,94.3,LFB1E6677KJB11163
HS5,G,7.5,60.98,68.48,LFB1E6072KJB05473
HS5,G,0,53.57,53.57,LFB1E607XKJB14678
HS5,G,41.46,82.93,124.39,LFB1E6677KJB13124
HS5,G,20.32,52.17,72.49,LFB1E6676KJB08206
HS5,G,29.07,57.14,86.21,LFB1E6072KJB07434
HS5,G,0.56,82.78,83.34,LFB1E6077KJB12662
HS5,G,0,60,60,LFB1E6076KJB07744
HS5,G,0,4.9,4.9,LFB1E6072KJB08387
HS5,G,0,33.33,33.33,LFB1E6679KJB04540
HS5,G,2.79,60.01,62.8,LFB1E607XKJB04331
HS5,G,57.24,95.92,153.16,LFB1E6676KJB12062
HS5,G,0,0,0,LFB1E6679KJB06501
HS5,G,0.02,87.48,87.5,LFB1E6675KJB07144
HS5,G,23.82,75,98.82,LFB1E6075KJB11039
HS5,G,50,95,145,LFB1E6072KJB13251
HS5,G,50,100,150,LFB1E6075KJB06682
HS5,G,30.7,59.14,89.84,LFB1E6679KJB07454
HS5,G,1.19,42.44,43.63,LFB1E6675KJB08097
HS5,G,0,75,75,LFB1E607XKJB07245
HS5,G,0,48.38,48.38,LFB1E6079KJB08953
HS5,G,4.64,38.07,42.71,LFB1E6070KJB07271
HS5,G,41.66,65.38,107.04,LFB1E6070KJB09232
HS5,G,13.44,48.26,61.7,LFB1E6077KJB06182
HS5,G,2.58,25.04,27.62,LFB1E6072KJB04758
HS5,G,0,0,0,LFB1E6078KJB14209
HS5,G,5.71,28.57,34.28,LFB1E6078KJB07891
HS5,G,0.26,2.37,2.63,LFB1E6671KJB03205
HS5,G,0,53.85,53.85,LFB1E6674KJB11847
HS5,G,0,64.69,64.69,LFB1E6677KJB12409
HS5,G,3.83,20.89,24.72,LFB1E6072KJB06719
HS5,G,30.02,68.42,98.44,LFB1E6079KJB14770
HS5,G,50,100,150,LFB1E6679KJB16185
HS5,G,26.62,41.94,68.56,LFB1E6077KJB11947
HS5,G,4.44,41.48,45.92,LFB1E6076KJB07081
